file,instance,opt_value,gap_genetic,gap_greedy,gap_surrogate,gap_rech_local_greedy,gap_rech_local_surrogate
mknapcb1,0,24381.0,0.05532997005865223,0.07706820885115459,0.16627701899019728,0.07706820885115459,0.047660063163939136
mknapcb1,1,24274.0,0.030279311197165693,0.04593392106780918,0.04593392106780918,0.04593392106780918,0.02092774161654445
mknapcb1,2,23551.0,0.009341429238673517,0.04105982760816951,0.10169419557555942,0.04105982760816951,0.006963610887011167
mknapcb1,3,23534.0,0.03599048185603807,0.1660151270502252,0.26153650038242543,0.1660151270502252,0.033653437579671965
mknapcb1,4,23991.0,0.020174232003668042,0.08190571464299112,0.12750614813888542,0.08190571464299112,0.03222041598932933
mknapcb1,5,24613.0,0.01304188843294194,0.023199122414983953,0.023199122414983953,0.023199122414983953,0.010969812700605371
mknapcb1,6,25591.0,0.028994568402954165,0.044234301121488025,0.10800672111289125,0.044234301121488025,0.028369348599116877
mknapcb1,7,23410.0,0.016659547202050404,0.03656557026911576,0.06240922682614267,0.03656557026911576,0.019008970525416488
mknapcb1,8,24216.0,0.03477039973571193,0.061075322101090186,0.14337628014535844,0.061075322101090186,0.022423191278493557
mknapcb1,9,24411.0,0.018352382122813485,0.03957232395231658,0.12039654254229651,0.03957232395231658,0.021629593216173037
mknapcb1,10,42757.0,0.04413312440068293,0.012302079191711298,0.03896438010150385,0.012302079191711298,0.00521552026568749
mknapcb1,11,42545.0,0.03387001997884593,0.038124338935245035,0.08581501939123282,0.038124338935245035,0.0035961922670113998
mknapcb1,12,41968.0,0.041102744948532215,0.02173084254670225,0.0377192146397255,0.02173084254670225,0.00533739992375143
mknapcb1,13,45090.0,0.05688622754491018,0.03519627411842981,0.06872920825016633,0.03519627411842981,0.012441783100465734
mknapcb1,14,42218.0,0.04081197593443555,0.031574210052584206,0.05597138661234544,0.031574210052584206,0.014922544886067554
mknapcb1,15,42927.0,0.04593845365387751,0.020895939618421972,0.020895939618421972,0.020895939618421972,0.0057306590257879654
mknapcb1,16,42009.0,0.0378252279273489,0.04046751886500512,0.04046751886500512,0.04046751886500512,0.021304958461282105
mknapcb1,17,45020.0,0.017814304753442915,0.06941359395824079,0.08513993780541981,0.06941359395824079,0.011172812083518436
mknapcb1,18,43441.0,0.042448378260168965,0.02928109389747013,0.06760894086231901,0.02928109389747013,0.013443521097580626
mknapcb1,19,44554.0,0.05530367643758136,0.014409480630246442,0.04338555460789155,0.014409480630246442,0.006935404228576559
mknapcb1,20,59822.0,0.005482932700344355,0.01683327204038648,0.02495737354150647,0.01683327204038648,0.006335461870214971
mknapcb1,21,62081.0,0.018266458336689165,0.01818591839693304,0.01818591839693304,0.01818591839693304,0.007699618240685556
mknapcb1,22,59802.0,0.011320691615665028,0.011320691615665028,0.0198655563359085,0.011320691615665028,0.0031938731146115514
mknapcb1,23,60479.0,0.023793382827097007,0.007969708493857372,0.01949436994659303,0.007969708493857372,0.002744754377552539
mknapcb1,24,61091.0,0.014339264376094679,0.005647313024831809,0.03622464847522548,0.005647313024831809,0.00622022883894518
mknapcb1,25,58959.0,0.01077019623806374,0.018673993792296343,0.039603792465950916,0.018673993792296343,0.008565274173578248
mknapcb1,26,61538.0,0.013828853716402873,0.012382592869446521,0.021742663069973026,0.012382592869446521,0.008645064837986285
mknapcb1,27,61520.0,0.006518205461638491,0.02964889466840052,0.043806892067620284,0.02964889466840052,0.004876462938881665
mknapcb1,28,59453.0,0.014246547693135754,0.01999899079945503,0.03503607891948261,0.01999899079945503,0.007232603905606109
mknapcb1,29,59965.0,0.013958142249645627,0.005253064287501042,0.005253064287501042,0.005253064287501042,0.003001751021429167
mknapcb2,0,59312.0,0.03549028864310763,0.05514904235230645,0.11493458322093338,0.05514904235230645,0.016843134610196923
mknapcb2,1,61472.0,0.03458485163977095,0.102371811556481,0.12140486725663717,0.102371811556481,0.03961153045288912
mknapcb2,2,62130.0,0.04773861258651215,0.03446000321905682,0.042427168839530016,0.03446000321905682,0.017704812489940446
mknapcb2,3,59446.0,0.029926319685092354,0.067927194428557,0.10453184402651146,0.067927194428557,0.024459173030986107
mknapcb2,4,58951.0,0.040949262947193435,0.03262031178436328,0.04357856524910519,0.03262031178436328,0.013078658546928806
mknapcb2,5,60056.0,0.04021246836286133,0.06387371786332756,0.13174370587451711,0.06387371786332756,0.024110829892100706
mknapcb2,6,60414.0,0.04522130631972721,0.03782235905584798,0.08292779819247194,0.03782235905584798,0.016866951368888005
